OrderNumber,CustomerKey,Region,IncomeGroup
SO64902,14318,Pacific,High
SO64903,19955,Pacific,High
SO64904,17959,Europe,Low
SO64905,16451,Europe,Low
SO64906,17968,Europe,Low
SO64907,29270,North America,High
SO64908,28972,North America,Moderate
SO64909,25862,North America,Low
SO64910,24442,North America,Moderate
SO64911,23890,North America,Moderate
SO64912,14906,North America,Moderate
SO64913,21236,North America,Moderate
SO64914,19871,North America,Moderate
SO64915,20390,North America,High
SO64916,19663,North America,High
SO64917,17395,North America,High
SO64918,16985,North America,High
SO64919,20441,North America,Moderate
SO64920,26074,North America,High
SO64921,16386,Europe,Low
SO64922,13825,Europe,Low
SO64923,17835,Europe,Low
SO64924,19372,Europe,Low
SO64925,19355,Europe,Low
SO64926,16564,Europe,Low
SO64927,13732,North America,High
SO64928,12424,North America,Low
SO64929,15500,North America,High
SO64930,12446,North America,Moderate
SO64931,15195,North America,High
SO64932,28501,Europe,Low
SO64933,27123,Europe,Low
SO64934,23645,Pacific,High
SO64935,15040,Pacific,Low
SO64936,15035,Pacific,Low
SO64937,25222,Pacific,Moderate
SO64938,25235,Pacific,Moderate
SO64939,13960,Pacific,High
SO64940,26624,North America,Moderate
SO64941,18650,North America,Low
SO64942,22892,North America,High
SO64943,22993,North America,High
SO64944,21139,North America,High
SO64945,13685,Europe,Moderate
SO64946,15695,Europe,High
SO64947,11976,Pacific,High
SO64948,11822,North America,Moderate
SO64949,11211,North America,Moderate
SO64950,11330,North America,High
SO64951,13180,North America,High
SO64952,15581,Pacific,Moderate
SO64953,14313,Pacific,Moderate
SO64954,21196,Pacific,Moderate
SO64955,19624,Pacific,High
SO64956,28718,Pacific,Moderate
SO64957,22911,Pacific,High
SO64958,22955,Pacific,High
SO64959,25017,Pacific,Low
SO64960,16614,Pacific,High
SO64961,17067,Pacific,Moderate
SO64962,18221,Pacific,High
SO64963,17220,Europe,High
SO64964,11689,North America,High
SO64965,29272,North America,High
SO64966,29273,North America,High
SO64967,28280,North America,Moderate
SO64968,26779,North America,Low
SO64969,26459,North America,Moderate
SO64970,26448,North America,Low
SO64971,26519,North America,High
SO64972,11833,North America,High
SO64973,12928,North America,Moderate
SO64974,21718,North America,Moderate
SO64975,15874,North America,High
SO64976,21578,North America,Moderate
SO64977,19806,North America,Moderate
SO64978,15943,North America,High
SO64979,22882,North America,Moderate
SO64980,15415,North America,High
SO64981,23553,North America,Moderate
SO64982,17658,North America,Low
SO64983,22141,North America,Moderate
SO64984,14476,North America,Moderate
SO64985,14004,North America,Moderate
SO64986,16357,North America,Low
SO64987,14817,Europe,Moderate
SO64988,17883,Europe,Low
SO64989,23985,Europe,Low
SO64990,18029,Europe,Low
SO64991,27935,Europe,Moderate
SO64992,19483,Europe,Moderate
SO64993,28738,Europe,Low
SO64994,11170,North America,High
SO64995,16243,North America,High
SO64996,14765,North America,Moderate
SO64997,12794,North America,Moderate
SO64998,15517,North America,High
SO64999,15484,North America,High
SO65000,16678,North America,High
SO65001,12774,North America,Moderate
SO65002,15396,North America,High
SO65003,15399,North America,High
SO65004,15062,Europe,Low
SO65005,15038,Pacific,Low
SO65006,23649,Pacific,High
SO65007,25294,Pacific,High
SO65008,17736,Pacific,Low
SO65009,20624,Pacific,High
SO65010,14033,Pacific,High
SO65011,29236,North America,High
SO65012,26116,North America,High
SO65013,26293,North America,High
SO65014,23328,North America,Low
SO65015,22268,North America,Moderate
SO65016,22994,North America,High
SO65017,17148,North America,Moderate
SO65018,26929,Europe,Moderate
SO65019,22593,Europe,Low
SO65020,14225,Pacific,High
SO65021,12499,Europe,Low
SO65022,11121,Pacific,High
SO65023,17296,Pacific,Moderate
SO65024,15235,Pacific,Moderate
SO65025,19103,Pacific,High
SO65026,21184,Pacific,High
SO65027,25809,Pacific,Moderate
SO65028,14069,Pacific,High
SO65029,18298,Pacific,High
SO65030,18704,Pacific,High
SO65031,15064,Europe,Low
SO65032,16196,Europe,Moderate
SO65033,15627,Europe,Moderate
SO65034,16587,Europe,High
SO65035,11744,North America,Moderate
SO65036,11627,North America,Moderate
SO65037,28227,North America,High
SO65038,11200,North America,High
SO65039,25914,North America,Low
SO65040,25841,North America,Moderate
SO65041,22083,North America,High
SO65042,14084,North America,Low
SO65043,28341,North America,Moderate
SO65044,15386,North America,High
SO65045,19751,North America,Moderate
SO65046,13881,North America,Moderate
SO65047,17219,Europe,High
SO65048,20809,Europe,Low
SO65049,19900,Europe,High
SO65050,17931,Europe,Low
SO65051,22589,Europe,Low
SO65052,22622,Europe,Low
SO65053,21839,Europe,High
SO65054,20585,Europe,High
SO65055,14862,Europe,Moderate
SO65056,22499,Europe,Low
SO65057,25518,Europe,Low
SO65058,12964,North America,High
SO65059,11373,Europe,Low
SO65060,14652,North America,Moderate
SO65061,18943,North America,High
SO65062,19812,North America,High
SO65063,15499,North America,High
SO65064,15193,North America,High
SO65065,15394,North America,High
SO65066,14427,Europe,High
SO65067,21202,Pacific,High
SO65068,21203,Pacific,High
SO65069,18268,Pacific,Moderate
SO65070,14219,Pacific,High
SO65071,13964,Pacific,High
SO65072,26083,North America,High
SO65073,24688,North America,Moderate
SO65074,24761,North America,Moderate
SO65075,26320,North America,High
SO65076,23135,North America,High
SO65077,20685,North America,Moderate
SO65078,20693,North America,Moderate
SO65079,20701,North America,Moderate
SO65080,17666,North America,Moderate
SO65081,20846,Europe,Low
SO65082,27928,Europe,High
SO65083,24104,Europe,Moderate
SO65084,23961,Europe,Low
SO65085,22603,Europe,Low
SO65086,27781,Europe,Low
SO65087,11986,Pacific,High
SO65088,29090,Pacific,Low
SO65091,14221,Pacific,High
SO65092,26034,Pacific,Moderate
SO65093,23087,Pacific,Low
SO65094,18712,Pacific,High
SO65095,24208,Europe,Moderate
SO65096,13551,Europe,Low
SO65097,13691,Europe,Moderate
SO65098,13687,Europe,Moderate
SO65099,11838,North America,High
SO65100,11648,North America,Moderate
SO65101,11190,North America,High
SO65102,11505,North America,Moderate
SO65103,11632,North America,Moderate
SO65104,11283,North America,High
SO65105,27505,North America,Moderate
SO65106,26471,North America,Moderate
SO65107,25933,North America,Moderate
SO65108,24511,North America,Moderate
SO65109,11769,North America,Moderate
SO65110,23025,North America,High
SO65111,20643,North America,High
SO65112,19020,North America,High
SO65113,16856,North America,High
SO65114,16064,North America,Moderate
SO65115,13835,Europe,Low
SO65116,15608,Europe,Low
SO65117,20593,Europe,High
SO65118,18636,Europe,Moderate
SO65119,27337,Europe,High
SO65120,26408,Europe,High
SO65121,22815,Europe,High
SO65122,26871,Europe,Low
SO65123,23236,Europe,Moderate
SO65124,11182,North America,High
SO65125,11524,North America,Moderate
SO65126,12528,North America,Moderate
SO65127,12138,North America,High
SO65128,13582,Europe,High
SO65129,12465,Europe,Low
SO65130,11544,Europe,Low
SO65131,19780,North America,High
SO65132,15303,North America,High
SO65133,16011,North America,High
SO65134,28513,Europe,Low
SO65135,11351,Europe,Low
SO65136,28697,Europe,Moderate
SO65137,25600,Europe,Low
SO65138,20429,Pacific,Moderate
SO65139,20284,Pacific,Moderate
SO65140,25250,Pacific,High
SO65141,25271,Pacific,Moderate
SO65142,21167,Pacific,High
SO65143,11998,Pacific,Moderate
SO65144,14210,Pacific,High
SO65145,26511,North America,High
SO65146,26338,North America,High
SO65147,26326,North America,High
SO65148,20706,North America,High
SO65149,18134,Europe,High
SO65150,11360,Pacific,Low
SO65324,25658,Europe,Moderate
SO65325,24709,Europe,Moderate
SO65326,22452,Europe,Moderate
SO65327,22427,Europe,Low
SO65328,22502,Europe,Moderate
SO65329,17225,Europe,High
SO65330,12548,Europe,Low
SO65331,23563,Pacific,Moderate
SO65332,24473,Pacific,High
SO65333,22002,Pacific,Low
SO65334,29320,Pacific,High
SO65335,13628,Pacific,High
SO65336,16674,Pacific,High
SO65337,18160,Europe,High
SO65338,22647,Europe,Moderate
SO65339,22504,Europe,Moderate
SO65340,27039,North America,Low
SO65341,16213,North America,Moderate
SO65342,13707,North America,Moderate
SO65343,27457,North America,High
SO65344,15402,North America,Moderate
SO65345,26244,North America,High
SO65346,24416,North America,High
SO65347,24642,North America,Moderate
SO65348,15008,North America,Moderate
SO65349,21786,North America,Moderate
SO65350,18402,North America,High
SO65351,13491,North America,High
SO65352,18087,North America,Moderate
SO65353,19656,North America,Low
SO65354,16217,North America,Moderate
SO65355,22026,North America,Low
SO65356,19757,North America,Moderate
SO65357,13740,North America,Moderate
SO65358,18756,North America,Moderate
SO65359,12744,Europe,Moderate
SO65360,19249,Europe,Low
SO65361,16439,Europe,Low
SO65362,25755,Europe,Low
SO65363,12601,Europe,Low
SO65364,12593,Europe,Low
SO65365,19489,Europe,Low
SO65366,28887,Europe,High
SO65367,11566,Europe,Moderate
SO65368,25688,Europe,Low
SO65369,15878,North America,High
SO65370,15899,North America,High
SO65371,17403,North America,High
SO65372,15737,North America,High
SO65373,16007,North America,High
SO65374,15949,North America,High
SO65375,15044,Pacific,Low
SO65376,21195,Pacific,Moderate
SO65377,21228,Pacific,Moderate
SO65378,26162,Pacific,Moderate
SO65379,26167,Pacific,Moderate
SO65380,21561,Pacific,High
SO65381,14262,Pacific,High
SO65382,14276,Pacific,High
SO65383,14287,Pacific,High
SO65384,26610,North America,High
SO65385,26642,North America,High
SO65386,23382,North America,Moderate
SO65387,23399,North America,Moderate
SO65388,23392,North America,Moderate
SO65389,24189,Europe,Low
SO65390,24202,Europe,Low
SO65391,24025,Europe,Low
SO65392,26038,Europe,Low
SO65393,28704,Europe,Moderate
SO65394,12353,Pacific,High
SO65395,12671,Pacific,High
SO65396,11363,Pacific,Low
SO65397,26398,Europe,High
SO65398,13157,Pacific,Low
SO65399,15153,Pacific,High
SO65400,18261,Pacific,High
SO65401,26425,Pacific,High
SO65402,15025,Pacific,Moderate
SO65403,14674,Pacific,High
SO65404,18147,Europe,High
SO65405,22433,Europe,Low
SO65406,12982,North America,High
SO65407,29218,North America,High
SO65408,11223,North America,High
SO65409,14332,North America,Low
SO65410,13318,North America,Moderate
SO65411,23030,North America,High
SO65412,23149,North America,Moderate
SO65413,19700,North America,High
SO65414,20754,North America,Low
SO65415,18989,North America,High
SO65416,17607,North America,Moderate
SO65417,15947,North America,High
SO65418,14907,North America,Moderate
SO65419,15745,North America,High
SO65420,15966,North America,Moderate
SO65421,14250,North America,High
SO65422,21547,Europe,High
SO65423,13300,North America,Moderate
SO65424,13816,Europe,Low
SO65425,23916,Europe,Low
SO65426,21043,Europe,Low
SO65427,20810,Europe,Low
SO65428,24151,Europe,Low
SO65429,20964,Europe,Low
SO65430,13191,North America,High
SO65431,15739,North America,High
SO65432,15983,North America,High
SO65433,15944,North America,High
SO65434,27159,Europe,Low
SO65435,25619,Europe,Low
SO65436,25829,Pacific,High
SO65437,17911,Pacific,Low
SO65438,29182,Pacific,Moderate
SO65439,24241,Pacific,Low
SO65440,24169,Pacific,Low
SO65441,24177,Pacific,Low
SO65442,14322,Pacific,High
SO65443,18276,Pacific,Moderate
SO65444,14261,Pacific,High
SO65445,26534,North America,High
SO65446,26727,North America,High
SO65447,21343,North America,High
SO65448,20007,North America,Moderate
SO65449,20858,Europe,Low
SO65450,27789,Europe,Low
SO65451,11488,Europe,Low
SO65452,22429,Europe,Low
SO65453,25635,Europe,Moderate
SO65454,17945,Europe,Low
SO65455,18171,Europe,High
SO65456,12138,North America,High
SO65457,20604,Pacific,Moderate
SO65458,21880,Pacific,High
SO65459,27708,Pacific,High
SO65460,11079,Pacific,High
SO65461,16621,Pacific,High
SO65462,14203,Europe,High
SO65463,17972,Europe,Low
SO65464,22679,Europe,Moderate
SO65465,11262,North America,High
SO65466,12880,North America,Moderate
SO65467,25260,North America,Moderate
SO65468,24767,North America,Moderate
SO65469,24439,North America,Moderate
SO65470,11711,North America,High
SO65471,11711,North America,High
SO65472,23133,North America,Moderate
SO65473,13423,North America,High
SO65474,18235,North America,High
SO65475,18997,North America,High
SO65476,16994,North America,Moderate
SO65477,11740,North America,High
SO65478,15408,North America,High
SO65479,17223,Europe,High
SO65480,19281,Europe,Low
SO65481,23952,Europe,Low
SO65482,21853,Europe,High
SO65483,25806,Europe,High
SO65484,17835,Europe,Low
SO65485,11785,North America,Moderate
SO65486,13240,North America,Moderate
SO65487,14480,North America,High
SO65488,12414,North America,Moderate
SO65489,14738,North America,Moderate
SO65490,12901,North America,Moderate
SO65491,13209,North America,Moderate
SO65492,15992,North America,High
SO65493,27134,Europe,Low
SO65494,21206,Pacific,Moderate
SO65495,17917,Pacific,Low
SO65496,14323,Pacific,High
SO65497,12573,Pacific,Low
SO65498,26602,North America,High
SO65499,22373,North America,Moderate
SO65500,26728,North America,High
SO65501,23372,North America,Moderate
SO65502,23161,North America,High
SO65503,13697,Europe,Moderate
SO65504,17248,Pacific,High
SO65505,20252,Pacific,Moderate
SO65506,18897,Pacific,Low
SO65507,28139,Pacific,High
SO65508,25814,Pacific,High
SO65509,17231,Pacific,High
SO65510,17093,Europe,Moderate
SO65511,17849,Europe,Moderate
SO65512,15067,Europe,Low
SO65513,27683,North America,Low
SO65514,29353,North America,Moderate
SO65515,23293,North America,Moderate
SO65516,21936,North America,Moderate
SO65517,20655,North America,Moderate
SO65518,20408,North America,Moderate
SO65519,12969,North America,Moderate
SO65520,11711,North America,High
SO65521,20099,North America,Low
SO65522,17863,North America,Moderate
SO65523,21703,North America,Low
SO65524,18156,Europe,High
SO65525,15658,Europe,Low
SO65526,19330,Europe,Low
SO65527,24696,Europe,Low
SO65528,19470,Europe,Low
SO65529,18033,Europe,Low
SO65530,12509,Europe,Moderate
SO65531,21125,Europe,Low
SO65532,12652,Europe,High
SO65533,29472,Europe,Low
SO65534,23596,Europe,High
SO65535,29383,Europe,Low
SO65536,27334,Europe,High
SO65537,11680,North America,High
SO65538,12158,North America,High
SO65539,17360,North America,Moderate
SO65540,16067,North America,Moderate
SO65541,12904,North America,Moderate
SO65542,28548,Europe,Low
SO65543,21193,Pacific,Moderate
SO65544,26153,Pacific,Moderate
SO65545,25958,Pacific,High
SO65546,24247,Pacific,Low
SO65547,27598,Pacific,High
SO65548,27692,Pacific,High
SO65549,11038,Pacific,Low
SO65550,26694,North America,High
SO65551,23510,North America,Moderate
SO65552,23189,North America,High
SO65553,21152,North America,Moderate
SO65554,17678,North America,Moderate
SO65555,18108,North America,Moderate
SO65556,18060,North America,Moderate
SO65557,11237,Europe,High
SO65558,15702,Europe,High
SO65559,14260,Pacific,Moderate
SO65560,12349,Pacific,High
SO65561,18140,Europe,High
SO65562,16298,Europe,Moderate
SO65563,12022,North America,Moderate
SO65564,11852,North America,Moderate
SO65565,16634,Pacific,High
SO65566,26769,Pacific,Moderate
SO65567,17281,Pacific,Moderate
SO65568,18261,Pacific,High
SO65569,16318,Europe,Low
SO65570,13847,Europe,Moderate
SO65571,27622,North America,High
SO65572,24726,North America,Moderate
SO65573,12097,North America,Moderate
SO65574,26198,North America,Moderate
SO65575,11276,North America,High
SO65576,15413,North America,High
SO65577,13303,North America,High
SO65578,21292,North America,High
SO65579,22340,North America,Low
SO65580,19636,North America,Moderate
SO65581,17265,North America,High
SO65582,24322,North America,Moderate
SO65583,13206,North America,High
SO65584,16369,North America,Moderate
SO65585,16501,North America,Low
SO65586,22730,North America,High
SO65587,14841,Europe,Low
SO65588,14691,Europe,Low
SO65589,14182,Europe,High
SO65590,17822,Europe,Low
SO65591,12304,Europe,High
SO65592,25652,Europe,Low
SO65593,25535,Europe,Low
SO65594,16932,Europe,Low
SO65595,11648,North America,Moderate
SO65596,13486,North America,High
SO65597,11689,North America,High
SO65598,12091,North America,Moderate
SO65599,14458,North America,High
SO65600,12558,Europe,Low
SO65601,12976,North America,Moderate
SO65602,15841,North America,High
SO65603,15897,North America,High
SO65604,15535,North America,High
SO65605,15985,North America,High
SO65606,28531,Europe,Low
SO65607,28684,Europe,Low
SO65608,27120,Europe,Low
SO65609,16594,Europe,High
SO65610,15122,Pacific,High
SO65611,17913,Pacific,Low
SO65612,27709,Pacific,High
SO65613,14667,Pacific,High
SO65614,21408,Pacific,High
SO65615,14238,Pacific,High
SO65616,27097,North America,High
SO65617,26638,North America,High
SO65618,23168,North America,High
SO65619,17690,North America,Moderate
SO65620,17345,North America,Moderate
SO65621,17870,North America,Moderate
SO65622,18057,North America,Moderate
SO65623,16575,Europe,High
SO65624,16207,Europe,Moderate
SO65625,11112,Pacific,Moderate
SO65626,12354,Pacific,High
SO65627,16204,Europe,Moderate
SO65628,11212,North America,Moderate
SO65629,11863,North America,Moderate
SO65630,28603,North America,Low
SO65631,11821,North America,Moderate
SO65632,13634,Pacific,High
SO65633,15264,Pacific,Low
SO65634,16695,Pacific,High
SO65635,22925,Pacific,Moderate
SO65636,18166,Europe,High
SO65637,17828,Europe,Moderate
SO65638,21102,Europe,Moderate
SO65639,17969,Europe,Low
SO65640,29051,North America,Moderate
SO65641,27684,North America,Moderate
SO65642,11631,North America,Moderate
SO65643,25352,North America,Low
SO65644,20756,North America,Low
SO65645,27408,North America,High
SO65646,26257,North America,Low
SO65647,24650,North America,Low
SO65648,22764,North America,Moderate
SO65649,23297,North America,Moderate
SO65650,12147,North America,High
SO65651,19877,North America,Moderate
SO65652,13268,North America,Moderate
SO65653,17454,North America,High
SO65654,18058,North America,Low
SO65655,15271,North America,Moderate
SO65656,14540,Europe,Low
SO65657,18875,North America,Moderate
SO65658,12606,Europe,Moderate
SO65659,17995,Europe,Low
SO65660,12490,Europe,Moderate
SO65661,27003,Europe,Low
SO65662,24082,Europe,Low
SO65663,16602,Europe,High
SO65664,12555,Europe,Low
SO65665,19838,North America,High
SO65666,14756,North America,Moderate
SO65667,15043,Pacific,Low
SO65668,24242,Pacific,Low
SO65669,21404,Pacific,High
SO65670,21216,Pacific,High
SO65671,14264,Pacific,High
SO65672,14286,Pacific,High
SO65673,13909,North America,High
SO65674,23170,North America,High
SO65675,23174,North America,High
SO65676,17388,North America,Moderate
SO65677,24049,Europe,Low
SO65678,26979,Europe,Moderate
SO65679,24059,Europe,Low
SO65680,29453,Pacific,Low
SO65681,13693,Europe,Low
SO65682,12500,Europe,Low
SO65683,12150,North America,High
SO65684,14057,Pacific,High
SO65685,17331,Pacific,High
SO65686,13777,Europe,Low
SO65687,25774,Europe,High
SO65688,28228,North America,High
SO65689,11330,North America,High
SO65690,27394,North America,Moderate
SO65691,26502,North America,Moderate
SO65692,23685,North America,Moderate
SO65693,25158,North America,High
SO65694,12944,North America,High
SO65695,21800,North America,Moderate
SO65696,14611,North America,Moderate
SO65697,20388,North America,High
SO65698,19007,North America,Moderate
SO65699,11677,North America,Moderate
SO65700,20019,North America,High
SO65701,17692,North America,Moderate
SO65702,11176,North America,High
SO65703,17341,North America,Low
SO65704,15896,North America,Moderate
SO65705,15249,North America,Low
SO65706,20547,North America,High
SO65707,13943,North America,Moderate
SO65708,14992,Europe,Low
SO65709,17108,Europe,Low
SO65710,19279,Europe,Low
SO65711,25784,Europe,High
SO65712,20937,Europe,Low
SO65713,14533,Europe,Low
SO65714,19481,Europe,Low
SO65715,19487,Europe,Low
SO65716,16256,Europe,Low
SO65717,13199,North America,High
SO65718,11863,North America,Moderate
SO65719,12625,Europe,Low
SO65720,18065,North America,High
SO65721,12458,Europe,Low
SO65722,14740,North America,Moderate
SO65723,13241,North America,Moderate
SO65724,17037,North America,High
SO65725,15991,North America,High
SO65726,12612,Europe,Low
SO65727,21222,Pacific,Moderate
SO65728,26161,Pacific,Moderate
SO65729,24167,Pacific,Low
SO65730,24172,Pacific,Low
SO65731,24178,Pacific,Low
SO65732,21218,Pacific,High
SO65733,21214,Pacific,High
SO65734,16163,Pacific,Moderate
SO65735,27093,North America,High
SO65736,14478,North America,High
SO65737,18656,North America,Low
SO65738,18916,North America,Low
SO65739,18080,North America,Moderate
SO65740,21265,North America,High
SO65741,28521,Europe,Moderate
SO65742,25762,Europe,Low
SO65743,14234,Pacific,High
SO65744,12358,Pacific,High
SO65745,12674,Pacific,High
SO65746,17255,Pacific,High
SO65747,18167,Europe,High
SO65748,12546,Europe,Low
SO65749,14016,Pacific,Low
SO65750,17333,Pacific,High
SO65751,25216,Pacific,High
SO65752,24607,Pacific,High
SO65753,13952,Pacific,High
SO65754,16286,Europe,Moderate
SO65755,18135,Europe,High
SO65756,15454,Europe,Low
SO65757,11262,North America,High
SO65758,11223,North America,High
SO65759,27034,North America,Low
SO65760,23192,North America,Moderate
SO65761,11723,North America,High
SO65762,21628,North America,Moderate
SO65763,20504,North America,Moderate
SO65764,16780,North America,High
SO65765,15390,North America,Moderate
SO65766,15747,North America,High
SO65767,13531,Europe,Low
SO65768,23914,Europe,Low
SO65769,25298,Europe,Low
SO65770,25698,Europe,Low
SO65771,12897,North America,Moderate
SO65772,11682,North America,High
SO65773,15851,North America,High
SO65774,15534,North America,High
SO65775,27119,Europe,Low
SO65776,19364,Europe,Moderate
SO65777,12998,Pacific,Moderate
SO65778,15133,Pacific,High
SO65779,24251,Pacific,Low
SO65780,24166,Pacific,Low
SO65781,27691,Pacific,High
SO65782,24179,Pacific,Low
SO65783,21553,Pacific,High
SO65784,14299,Pacific,High
SO65785,26540,North America,High
SO65786,25905,North America,Moderate
SO65787,27074,North America,High
SO65788,23371,North America,Moderate
SO65789,18653,North America,Low
SO65790,23383,North America,Moderate
SO65791,23390,North America,Moderate
SO65792,23450,North America,Moderate
SO65793,23175,North America,High
SO65794,23393,North America,Moderate
SO65795,20785,North America,Moderate
SO65796,21146,North America,Moderate
SO65797,27790,Europe,Low
SO65798,11413,Europe,High
SO65799,27786,Europe,Low
SO65800,16588,Europe,High
SO65801,12673,Pacific,High
SO65802,15022,Pacific,Moderate
SO65803,17956,Europe,Low
SO65804,17214,Europe,High
SO65805,13121,Pacific,High
SO65806,15464,Pacific,Low
SO65807,19589,Pacific,Moderate
SO65808,19973,Pacific,High
SO65809,23347,Pacific,High
SO65810,23312,Pacific,Low
SO65811,26137,Pacific,High
SO65812,11948,Pacific,Low
SO65813,14669,Pacific,High
SO65814,13004,Pacific,High
SO65815,22648,Europe,Moderate
SO65816,21087,Europe,Moderate
SO65817,11210,North America,High
SO65818,29199,North America,Moderate
SO65819,28084,North America,High
SO65820,25353,North America,Low
SO65821,25369,North America,Moderate
SO65822,24985,North America,High
SO65823,24935,North America,Moderate
SO65824,12363,North America,High
SO65825,25871,North America,Moderate
SO65826,15564,North America,Moderate
SO65827,20095,North America,Low
SO65828,13303,North America,High
SO65829,16975,North America,Moderate
SO65830,21904,North America,High
SO65831,14273,North America,Moderate
SO65832,15930,Europe,High
SO65833,16456,Europe,Low
SO65834,21541,Europe,High
SO65835,20973,Europe,Low
SO65836,14706,Europe,Moderate
SO65837,22834,Europe,High
SO65838,22825,Europe,High
SO65839,25487,Europe,Low
SO65840,26403,Europe,High
SO65841,20925,Europe,Low
SO65842,25679,Europe,Low
SO65843,11225,North America,Moderate
SO65844,13144,North America,Moderate
SO65845,17348,North America,Low
SO65846,13061,North America,Moderate
SO65847,17410,North America,High
SO65848,12733,Europe,Low
SO65849,13055,North America,Low
SO65850,15769,North America,High
SO65851,12784,North America,Moderate
SO65852,15999,North America,High
SO65853,17779,Europe,Moderate
SO65854,15121,Pacific,High
SO65855,21200,Pacific,Moderate
SO65856,14308,Pacific,High
SO65857,21558,Pacific,High
SO65858,14277,Pacific,High
SO65859,26684,North America,High
SO65860,14041,North America,High
SO65861,25955,North America,Moderate
SO65862,23136,North America,High
SO65863,23365,North America,Moderate
SO65864,21150,North America,Moderate
SO65865,20023,North America,Moderate
SO65866,17860,North America,Moderate
SO65867,18096,North America,Moderate
SO65868,18098,North America,Moderate
SO65869,18120,North America,Moderate
SO65870,17869,North America,Moderate
SO65871,18056,North America,Moderate
SO65872,20842,Europe,Low
SO65873,24217,Europe,Low
SO65874,11414,Europe,High
SO65875,13686,Europe,Moderate
SO65876,29460,Pacific,Low
SO65877,14226,Pacific,High
SO65878,12676,Pacific,High
SO65879,17973,Europe,Low
SO65880,18143,Europe,High
SO65881,11498,North America,Moderate
SO65882,11215,North America,Moderate
SO65883,21209,Pacific,High
SO65884,23012,Pacific,Low
SO65885,22155,Pacific,Low
SO65886,15735,Pacific,High
SO65887,13023,Pacific,Low
SO65888,12697,Pacific,High
SO65889,20165,Europe,Low
SO65890,24850,Europe,High
SO65891,28334,North America,Low
SO65892,11661,North America,Moderate
SO65893,11277,North America,High
SO65894,26500,North America,Moderate
SO65895,23457,North America,High
SO65896,22056,North America,Moderate
SO65897,22352,North America,Low
SO65898,11869,North America,High
SO65899,21481,North America,Moderate
SO65900,12916,North America,Moderate
SO65901,14765,North America,Moderate
SO65902,29341,North America,Low
SO65903,28000,North America,Moderate
SO65904,28045,North America,Moderate
SO65905,19397,North America,Moderate
SO65906,17534,North America,High
SO65907,18072,North America,Moderate
SO65908,26177,North America,Low
SO65909,29229,North America,High
SO65910,16498,North America,Low
SO65911,14550,Europe,Low
SO65912,19190,Europe,Low
SO65913,18044,Europe,Low
SO65914,19508,Europe,Low
SO65915,28463,Europe,Low
SO65916,19183,Europe,Low
SO65917,29445,Europe,Low
SO65918,25754,Europe,Low
SO65919,16464,Europe,Low
SO65920,24081,Europe,Low
SO65921,24106,Europe,Low
SO65922,11306,North America,High
SO65923,11308,North America,Moderate
SO65924,15448,Europe,Low
SO65925,18852,North America,High
SO65926,13232,North America,Moderate
SO65927,12502,Europe,Low
SO65928,16770,North America,Moderate
SO65929,19824,North America,High
SO65930,14877,North America,Moderate
SO65931,15914,North America,High
SO65932,15989,North America,High
SO65933,15453,Europe,Low
SO65934,11491,Europe,Low
SO65935,16595,Europe,High
SO65936,21194,Pacific,Moderate
SO65937,17915,Pacific,Low
SO65938,17918,Pacific,Low
SO65939,26019,Pacific,High
SO65940,14673,Pacific,High
SO65941,21226,Pacific,High
SO65942,18277,Pacific,Moderate
SO65943,26532,North America,High
SO65944,25910,North America,Moderate
SO65945,21267,North America,High
SO65946,18059,North America,Moderate
SO65947,24212,Europe,Low
SO65948,17864,North America,Moderate
SO65949,14324,Pacific,High
SO65950,18139,Europe,High
SO65951,13783,Europe,Moderate
SO65952,18131,Europe,High
SO65953,14686,Pacific,Moderate
SO65954,15136,Pacific,High
SO65955,25263,Pacific,Moderate
SO65956,20406,Pacific,Low
SO65957,22151,Pacific,Low
SO65958,28218,Pacific,High
SO65959,18137,Europe,High
SO65960,16448,Europe,Moderate
SO65961,16262,Europe,Moderate
SO65962,14709,Europe,Low
SO65963,11159,North America,Moderate
SO65964,29003,North America,High
SO65965,28641,North America,Moderate
SO65966,13941,North America,Moderate
SO65967,11019,North America,Moderate
SO65968,11520,North America,Moderate
SO65969,13707,North America,Moderate
SO65970,24974,North America,Moderate
SO65971,12945,North America,Moderate
SO65972,28575,North America,Moderate
SO65973,13290,North America,High
SO65974,18498,North America,High
SO65975,11300,North America,High
SO65976,21489,North America,Moderate
SO65977,19750,North America,Moderate
SO65978,13879,North America,Moderate
SO65979,13863,North America,Moderate
SO65980,14687,Europe,Low
SO65981,19349,Europe,Low
SO65982,17215,Europe,High
SO65983,22657,Europe,Low
SO65984,16468,Europe,Low
SO65985,19461,Europe,Low
SO65986,18018,Europe,Low
SO65987,23627,Europe,High
SO65988,25631,Europe,Low
SO65989,23911,Europe,Low
SO65990,16543,Europe,Low
SO65991,14092,North America,Low
SO65992,11814,North America,Moderate
SO65993,12534,Europe,Low
SO65994,11565,Europe,Low
SO65995,12600,Europe,Low
SO65996,16080,North America,Moderate
SO65997,14874,North America,Moderate
SO65998,14757,North America,Moderate
SO65999,15934,North America,High
SO66000,15770,North America,High
SO66001,15518,North America,High
SO66002,12881,North America,Moderate
SO66003,15998,North America,High
SO66004,26221,Europe,Low
SO66005,11432,Europe,High
SO66006,21197,Pacific,Moderate
SO66007,27706,Pacific,High
